City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Saint George,US,77.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Ponta Do Sol,PT,72.72,overcast clouds,32.6667,-17.1,Hotel do Campo
91,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
92,Harper,LR,79.66,overcast clouds,4.375,-7.7169,Screensaver
94,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
100,Poso,ID,76.19,heavy intensity rain,-1.3959,120.7524,Hotel 77 Poso
102,Bugama,NG,81.64,overcast clouds,4.7341,6.8635,Johnbull polo
107,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
113,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
114,Hilo,US,75.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
119,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
123,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
126,Nabire,ID,76.19,light rain,-3.3667,135.4833,Hotel Nusantara I
129,Mantena,BR,72.16,scattered clouds,-18.7817,-40.9803,Hotel Estrela De Minas
132,Butaritari,KI,80.83,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
138,Kieta,PG,78.44,light rain,-6.2167,155.6333,Uruna Bay Retreat
140,Kahului,US,73.85,light rain,20.8947,-156.47,Maui Seaside Hotel
144,Karratha,AU,82.85,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
149,Abeche,TD,88.18,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
150,Garissa,KE,82.0,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
151,Luwuk,ID,78.24,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
156,Sumenep,ID,79.12,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
158,Houma,US,86.02,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
159,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
162,Marhaura,IN,82.33,clear sky,25.9667,84.8667,Mishti Polutry Farm
166,Mehriz,IR,70.3,overcast clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
168,Garowe,SO,80.35,few clouds,8.4054,48.4845,Curubo Hotel
169,Dwarka,IN,80.11,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
170,San Rafael,AR,75.72,clear sky,-34.6177,-68.3301,Hotel San Rafael
173,Shushtar,IR,78.73,clear sky,32.0455,48.8567,چاپ یاس کبود
178,Porto Belo,BR,75.79,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
183,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
184,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
202,Itarema,BR,81.34,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Mana,GF,80.83,overcast clouds,5.6592,-53.7767,LE SAMANA
207,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
208,Lorengau,PG,80.53,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
211,Kulhudhuffushi,MV,84.29,broken clouds,6.6221,73.07,Haajy Guest House 1
213,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
218,Wanning,CN,77.05,overcast clouds,18.8003,110.3967,Paradise Hotel
220,Tanhacu,BR,76.17,overcast clouds,-14.0214,-41.2481,Balneário Jurema
224,Kantang,TH,77.38,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
227,Nhamunda,BR,81.27,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
229,Rincon,US,78.76,overcast clouds,32.296,-81.2354,Days Inn Rincon
230,Kampot,KH,80.65,light rain,10.6167,104.1833,Two Moons Hotel
233,Owando,CG,77.47,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
234,Basoko,CD,72.27,broken clouds,1.2391,23.616,Jackyna Hotel
236,Faanui,PF,81.9,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
237,Ray,IN,83.17,broken clouds,23.6833,85.05,Bablu Cake Corner
238,Honolulu,US,76.82,moderate rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
243,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
246,Bosaso,SO,82.35,clear sky,11.2842,49.1816,Red Sea Hotel
247,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Limbdi,IN,85.66,clear sky,22.5667,71.8,LIMBDI YOGI HOTEL
249,Mayo,US,80.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
250,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
251,Abong Mbang,CM,72.54,light rain,3.9833,13.1833,Auberge Angle Sur
252,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
254,Biak,ID,76.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
255,Porto Walter,BR,82.99,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
256,Victoria,HK,71.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
259,Nampula,MZ,76.95,broken clouds,-15.1165,39.2666,Ruby Backpackers
260,Paita,PE,73.35,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
262,Caborca,MX,86.11,overcast clouds,30.5838,-111.101,Hotel Los Lagos
263,Doka,SD,86.77,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
