City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Severo-Yeniseyskiy,RU,60.3725,93.0408,39.36,90,100,12.48,overcast clouds
129,Mantena,BR,-18.7817,-40.9803,72.16,78,36,5.32,scattered clouds
130,Geraldton,AU,-28.7667,114.6,66.61,77,100,9.22,overcast clouds
131,Pavlodar,KZ,52.3,76.95,46.2,46,0,8.95,clear sky
132,Butaritari,KI,3.0707,172.7902,80.83,79,45,14.38,scattered clouds
133,Ribeira Grande,PT,38.5167,-28.7,64.8,63,40,8.05,scattered clouds
134,Nazret,ET,8.55,39.2667,68.31,71,100,8.21,light rain
135,Murgab,TM,37.4966,61.9714,62.47,48,75,9.22,broken clouds
136,El Reno,US,35.5323,-97.955,53.78,35,100,24.16,overcast clouds
137,Lavrentiya,RU,65.5833,-171.0,27.05,94,99,10.6,light snow
138,Kieta,PG,-6.2167,155.6333,78.44,84,100,0.4,light rain
139,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,51,0,14.97,clear sky
140,Kahului,US,20.8947,-156.47,73.85,91,100,11.5,light rain
141,Kharabali,RU,47.4196,47.2568,58.42,54,100,7.99,overcast clouds
142,Emba,KZ,48.8264,58.1442,52.54,68,93,4.59,overcast clouds
143,Maldonado,UY,-34.6667,-54.9167,67.39,56,2,10.31,clear sky
144,Karratha,AU,-20.7377,116.8463,82.85,42,40,7.2,scattered clouds
145,Milkovo,RU,54.7167,158.6167,23.76,75,63,3.67,broken clouds
146,Skjervoy,NO,70.0311,20.9714,44.6,86,100,36.46,overcast clouds
147,Ancud,CL,-41.8697,-73.8203,65.23,67,26,4.34,scattered clouds
148,New Norfolk,AU,-42.7826,147.0587,56.91,76,100,2.68,light rain
149,Abeche,TD,13.8292,20.8324,88.18,28,35,2.57,scattered clouds
150,Garissa,KE,-0.4536,39.6401,82.0,64,100,19.17,overcast clouds
151,Luwuk,ID,-0.9516,122.7875,78.24,87,100,2.75,overcast clouds
152,Dikson,RU,73.5069,80.5464,11.57,94,100,16.24,overcast clouds
153,Makkaveyevo,RU,51.7533,113.9454,27.64,59,72,1.63,broken clouds
154,Erdaojiang,CN,41.7764,126.0319,42.28,57,20,3.4,few clouds
155,Havoysund,NO,70.9963,24.6622,39.43,92,100,34.47,overcast clouds
156,Sumenep,ID,-7.0167,113.8667,79.12,85,100,1.3,overcast clouds
157,Parainen,FI,60.3067,22.301,39.65,74,99,2.82,overcast clouds
158,Houma,US,29.5958,-90.7195,86.02,74,75,11.5,broken clouds
159,Acapulco,MX,16.8634,-99.8901,87.62,55,0,13.8,clear sky
160,Tromso,NO,69.6496,18.957,41.38,81,75,14.97,broken clouds
161,Bethel,US,41.3712,-73.414,67.89,47,75,12.66,broken clouds
162,Marhaura,IN,25.9667,84.8667,82.33,11,3,5.73,clear sky
163,Peniche,PT,39.3558,-9.3811,61.29,87,66,13.91,broken clouds
164,Port Alfred,ZA,-33.5906,26.891,61.18,82,100,12.86,overcast clouds
165,Rocha,UY,-34.4833,-54.3333,66.47,59,22,8.59,few clouds
166,Mehriz,IR,31.5917,54.4318,70.3,33,99,4.43,overcast clouds
167,Vostok,RU,46.4856,135.8833,27.5,77,5,6.91,clear sky
168,Garowe,SO,8.4054,48.4845,80.35,64,24,11.61,few clouds
169,Dwarka,IN,22.2394,68.9678,80.11,79,0,12.15,clear sky
170,San Rafael,AR,-34.6177,-68.3301,75.72,28,6,6.98,clear sky
171,Svetlyy,RU,54.675,20.1347,37.96,81,85,9.86,overcast clouds
172,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,65,20,5.75,few clouds
173,Shushtar,IR,32.0455,48.8567,78.73,15,1,12.17,clear sky
174,Pierre,US,44.3683,-100.351,46.85,35,0,8.99,clear sky
175,Saint-Francois,FR,46.4154,3.9054,57.67,58,0,6.91,clear sky
176,Kamaishi,JP,39.2667,141.8833,38.77,78,2,7.23,clear sky
177,Severo-Kurilsk,RU,50.6789,156.125,30.97,81,100,14.29,overcast clouds
178,Porto Belo,BR,-27.1578,-48.5531,75.79,66,2,15.12,clear sky
179,Verkh-Usugli,RU,52.7,115.1667,22.95,59,100,3.0,overcast clouds
180,Mar Del Plata,AR,-38.0023,-57.5575,69.82,82,0,18.01,clear sky
181,Novikovo,RU,51.1537,37.8879,49.68,88,100,2.35,overcast clouds
182,Sadovoye,RU,47.7764,44.5089,53.26,63,25,7.38,scattered clouds
183,Quelimane,MZ,-17.8786,36.8883,82.35,83,20,6.91,few clouds
184,Cockburn Town,TC,21.4612,-71.1419,80.56,69,75,20.71,broken clouds
185,Husavik,IS,66.0449,-17.3389,45.48,81,100,12.95,overcast clouds
186,Naryan-Mar,RU,67.6713,53.087,6.96,100,94,2.91,overcast clouds
187,Coos Bay,US,43.3665,-124.2179,51.93,85,20,16.11,few clouds
188,Viedma,AR,-40.8135,-62.9967,64.22,59,4,15.93,clear sky
189,Bereda,ES,43.2686,-7.5406,64.58,76,63,2.8,broken clouds
190,Iqaluit,CA,63.7506,-68.5145,10.13,78,100,3.44,overcast clouds
191,Nuevo Progreso,MX,23.1667,-97.95,92.53,52,17,10.0,few clouds
192,Gaoua,BF,10.2992,-3.2508,80.94,55,100,3.24,overcast clouds
193,Gisborne,NZ,-38.6533,178.0042,58.91,82,100,7.2,overcast clouds
194,Chulman,RU,56.8479,124.9104,-3.41,100,100,0.67,overcast clouds
195,Esperance,AU,-33.8667,121.9,62.44,68,100,14.05,overcast clouds
196,Trowbridge,GB,51.3189,-2.2086,62.62,89,100,5.39,overcast clouds
197,Codrington,AU,-38.2667,141.9667,67.51,41,100,18.32,overcast clouds
198,Kaitangata,NZ,-46.2817,169.8464,40.78,91,92,4.56,overcast clouds
199,Port Hardy,CA,50.6996,-127.4199,46.4,75,20,5.75,few clouds
200,Roald,NO,62.5833,6.1333,48.33,87,40,2.3,scattered clouds
201,Chifeng,CN,42.2683,118.9636,44.76,28,0,8.7,clear sky
202,Itarema,BR,-2.9248,-39.9167,81.34,79,23,7.16,moderate rain
203,Sandnessjoen,NO,66.0217,12.6316,42.66,95,100,7.0,overcast clouds
204,Svetlaya,RU,46.5389,138.3297,35.37,76,77,4.03,broken clouds
205,Mana,GF,5.6592,-53.7767,80.83,76,98,10.94,overcast clouds
206,Gladstone,AU,-23.85,151.25,63.79,77,0,5.75,clear sky
207,Port-Gentil,GA,-0.7193,8.7815,80.56,89,20,4.61,few clouds
208,Lorengau,PG,-2.0226,147.2712,80.53,80,41,4.21,scattered clouds
209,Abu Kamal,SY,34.4506,40.9171,68.74,21,46,6.73,scattered clouds
210,Coquimbo,CL,-29.9533,-71.3436,62.33,67,20,14.97,few clouds
211,Kulhudhuffushi,MV,6.6221,73.07,84.29,71,74,7.0,broken clouds
212,Saint-Augustin,CA,51.226,-58.6502,32.5,99,100,10.63,light snow
213,Dzaoudzi,YT,-12.7887,45.2699,82.29,83,0,5.75,clear sky
214,Nanortalik,GL,60.1432,-45.2371,31.3,80,7,9.82,clear sky
215,Erdenet,MN,49.0333,104.0833,33.55,61,15,3.62,few clouds
216,Kachiry,KZ,53.0675,76.1036,58.05,57,100,8.72,overcast clouds
217,Luderitz,NA,-26.6481,15.1594,63.59,61,0,14.03,clear sky
